JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,
BOM name：null-JLCPCB Assembly Order.xlsx,,Download Time：2026-03-06 12:02:31,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,
PCB Assembled Qty：5,,Est. Total Price：47.1463,,,,,,,,,,,
Your BOM,,,,,,,,Order Information,,,,,
Top Designator,Comment,Footprint,Part # ,Manufacturer,Footprint,Description,Category,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
D2,ESD9B3.3ST5G,Diode_SMD:D_SOD-923,ESD9B3.3ST5G,GOODWORK,SOD-923,-55℃~+150℃ 1 100W 10pF 12.5V 3.3V 4.3V 500nA 8A ESD IEC 61000-4-2 SOD-923 ESD and Surge Protection (TVS/ESD) ROHS,ESD And Surge Protection (TVS/ESD),C41364470,https://jlcpcb.com/partdetail/GOODWORK-ESD9B33ST5G/C41364470,Extended,20,20 JLCPCB,0.376
D3,1N4148,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,Changzhou Starsea Elec,DO-35,-65℃~+200℃@(Tj) 100V 150mA 1V@10mA 4ns 500mA 500mW 5uA@75V DO-35 Switching Diodes ROHS,Switching Diodes,C85057,https://jlcpcb.com/partdetail/Changzhou_StarseaElec-1N4148/C85057,Extended,7,7 JLCPCB,0.0854
IC1,TRF7970ARHBR,trt:QFN50P500X500X100-33N-D,TRF7970ARHBR,Texas Instruments,VQFN-32-EP(5x5),"106Kbit/s、212Kbit/s、424Kbit/s、848Kbit/s 13.56MHz 2.7V~5.5V FeliCa,ISO 14443A,ISO 14443B,ISO 15693,ISO 18000-3,ISO 21481,MIFARE,NFC SPI VQFN-32-EP(5x5) RFID ICs ROHS",RFID ICs,C117004,https://jlcpcb.com/partdetail/TexasInstruments-TRF7970ARHBR/C117004,Extended,2,2 JLCPCB,3.8788
J1,USB_C_Receptacle_USB2.0_14P,Connector_USB:USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,HC-TYPE-C-16P-01A,HCTL,SMD,"-55℃~+85℃ 1 16P 20V 5A 7.35mm Black Female Surface Mount, Right Angle Type-C SMD USB Connectors ROHS",USB Connectors,C2894897,https://jlcpcb.com/partdetail/HCTL-HC_TYPE_C_16P01A/C2894897,Extended,2,2 JLCPCB,0.1966
L1,2.0nH,Inductor_SMD:L_0402_1005Metric,LQG15HS2N0S02D,Murata Electronics,402,2nH 6GHz 8@100MHz 900mA 90mΩ 0402 Inductors (SMD) ROHS,Inductors (SMD),C18216,https://jlcpcb.com/partdetail/MurataElectronics-LQG15HS2N0S02D/C18216,Extended,20,20 JLCPCB,0.2
L2,150nH,Inductor_SMD:L_0402_1005Metric,LQG15HSR15J02D,Murata Electronics,402,150mA 150nH 2.99Ω 550MHz 8@100MHz Multilayer inductor ±5% 0402 Inductors (SMD) ROHS,Inductors (SMD),C162548,https://jlcpcb.com/partdetail/MurataElectronics-LQG15HSR15J02D/C162548,Extended,20,20 JLCPCB,0.194
"L3,L4",15uH,Inductor_SMD:L_0402_1005Metric,LQW15DN150M00D,Murata Electronics,402,100mA 100mA 15uH 6.555Ω ±20% 0402 Power Inductors ROHS,Inductors (SMD),C3221788,https://jlcpcb.com/partdetail/ChilisinElec-SDT0402T_150MN/C329840,Extended,8,8 JLCPCB,9.71
L5,9.1nH,Inductor_SMD:L_0402_1005Metric,LQG15HS9N1J02D,Murata Electronics,402,260mΩ 3.4GHz 500mA 8@100MHz 9.1nH Multilayer inductor ±5% 0402 Inductors (SMD) ROHS,Inductors (SMD),C162547,https://jlcpcb.com/partdetail/MurataElectronics-LQG15HS9N1J02D/C162547,Extended,20,20 JLCPCB,0.176
L6,2.6nH,Inductor_SMD:L_0402_1005Metric,LQG15WZ2N6B02D,Murata Electronics,402,2.6nH 23@250MHz 6.5GHz 70mΩ 900mA AEC-Q200 0402 Inductors (SMD) ROHS,Inductors (SMD),C1012745,https://jlcpcb.com/partdetail/MurataElectronics-LQG15WZ2N6B02D/C1012745,Extended,5,5 JLCPCB,0.4495
L7,330nH,Inductor_SMD:L_0402_1005Metric,VHF100505HQR33JT,FH (Guangdong Fenghua Advanced Tech),402,330nH 350MHz 50mA 6@50MHz 7Ω ±5% 0402 Inductors (SMD) ROHS,Inductors (SMD),C485776,https://jlcpcb.com/partdetail/494209-VHF100505HQR33JT/C485776,Extended,20,20 JLCPCB,0.206
